ID,Date,Company,Title,Location,Link,Description,Level,Type,Function,Industry
urn:li:jobPosting:3284034849,2022-08-28,Canonical,Software Engineer - Python and K8s,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-3284034849?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=2cIAgOegaf66pQzW7AfI4A%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3273591855,2022-09-16,ExamRoom.AI,Desenvolvedor .Net,Greater Florianopolis,https://br.linkedin.com/jobs/view/desenvolvedor-net-at-examroom-ai-3273591855?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=EHONr8ewe0Y4Vw8vkZQ0dw%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3213636941,2022-08-09,Franq Open Banking,Pessoa Engenheira de Software Python - Foco em Integrações,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-engenheira-de-software-python-foco-em-integra%C3%A7%C3%B5es-at-franq-open-banking-3213636941?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=jNSjLmv2EO18Fi3n3FLBjA%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3012151048,2022-03-12,RD Station,Pessoa Coordenadora de Engenharia de Software | Growth Engineering,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-coordenadora-de-engenharia-de-software-growth-engineering-at-rd-station-3012151048?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=THm1B3oRCYY9PEnDWW8RtA%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3284084553,2022-09-22,CD2 Retail Tech,Desenvolvedor Full Stack PHP PL,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-php-pl-at-cd2-retail-tech-3284084553?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=O3ySNbOs%2BxZEW951a%2FWCzw%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3097302079,2022-05-06,GE Renewable Energy,Full Stack Software Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/full-stack-software-engineer-at-ge-renewable-energy-3097302079?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=NbTcVV0INPmLxtaR6PWCCQ%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3285451296,2022-08-29,Canonical,Software Engineer - OpenStack,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-openstack-at-canonical-3285451296?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=jsb6jTfsMX1BM3haYsGd6w%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3281905771,2022-09-22,Oowlish,.Net/C# Engineer - Remote Work,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/net-c%23-engineer-remote-work-at-oowlish-3281905771?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=TFSFiACSiWZAIHQ2jnlEyA%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3283786486,2022-09-23,Zallpy Digital,Desenvolvedor(a) FullStack Flutter/JR,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-fullstack-flutter-jr-at-zallpy-digital-3283786486?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=pHTOSnFwHg6erUu0PkOvvA%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3288731382,2022-09-22,RHi Gestão de Pessoas,Desenvolvedor Delphi,"Palhoça, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-delphi-at-rhi-gest%C3%A3o-de-pessoas-3288731382?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=ZKHk9gh2y36OydqjmV83Ug%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3287216591,2022-09-26,Flexy Plataforma de E-commerce,Desenvolvedor(a) PHP Full Stack Pleno,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-php-full-stack-pleno-at-flexy-plataforma-de-e-commerce-3287216591?refId=DHBEq%2FnkmQSJ61jznlRRDA%3D%3D&trackingId=zfPd7ewiY%2B3N32patC7TqQ%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3282142814,2022-08-28,Canonical,Sustaining Operations Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/sustaining-operations-engineer-at-canonical-3282142814?refId=%2FIgrrhFk8hYJnUecs7AN7w%3D%3D&trackingId=Po2xz2HCL5uGoU5V2VGRVw%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3263344224,2022-09-14,EDC Group,DESENVOLVEDOR DE SOFTWARE X B,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-x-b-at-edc-group-3263344224?refId=%2FIgrrhFk8hYJnUecs7AN7w%3D%3D&trackingId=yRbMR2JeWQfHABs4wnn4OA%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card, , , , , 
urn:li:jobPosting:3288714615,2022-09-22,E3S,Desenvolvedor de Software (Back/Front),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-back-front-at-e3s-3288714615?refId=%2FIgrrhFk8hYJnUecs7AN7w%3D%3D&trackingId=1moYl23RCzwO5Ntwbrb9Iw%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card, , , , , 
