ID,Date,Company,Title,Location,Link
,2022-08-09,Franq Open Banking,Pessoa Engenheira de Software Python - Foco em Integrações,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-engenheira-de-software-python-foco-em-integra%C3%A7%C3%B5es-at-franq-open-banking-3213636941?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=wO5sWomcGeu23ok1BlYnjA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-07-30,Canonical,Software Engineer - OpenStack,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-openstack-at-canonical-3235980047?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=C8jn5Q2zpBOozbCVS4UPIg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-08-18,Oowlish,Software Engineer - Node.js - Remote Work,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-node-js-remote-work-at-oowlish-3225607002?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=%2BA7nK6dMyGgmTj58DYEVBg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-09,Checklist Fácil,Desenvolvedor(a) Front-End Sênior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-s%C3%AAnior-at-checklist-f%C3%A1cil-3254127230?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=RfLjDNJW%2F%2FcGnyKONWugcA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-14,EDC Group,DESENVOLVEDOR DE SOFTWARE X B,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-x-b-at-edc-group-3263344224?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=Pp7kfHAeJNp%2Br6ah0b32Pg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-07-21,Canonical,Identity Platform Software Engineer - Python/Go,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/identity-platform-software-engineer-python-go-at-canonical-3182146553?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=JFTorhv%2BaHNV%2FDNl6jy3gQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-07-25,Amazing Devs,Nodejs Software Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/nodejs-software-engineer-at-amazing-devs-3227044488?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=tSGWwoxebNLgOmwH9B%2FHvQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-09,Audaces,Desenvolvedor de Software (Computação gráfica),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-computa%C3%A7%C3%A3o-gr%C3%A1fica-at-audaces-3254124271?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=5C2cXuD3dVtLYTCzhsLsKQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-08-22,Ahgora,Desenvolvedor(a) Front End Senior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-a-front-end-senior-at-ahgora-3231468344?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=YTlyKMOwKpCfkTLGmzzBqQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-19,Audaces,Desenvolvedor de Software,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-at-audaces-3277357174?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=91nufyeJS%2FWQXnNXMZz6Gg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-19,E3S,Desenvolvedor de Software Python,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-python-at-e3s-3277339100?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=KNhvsngllwZNSdTVi3kr0w%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-08-09,Canonical,Software Engineer - Python - Optimise Ubuntu for Public Clouds,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-python-optimise-ubuntu-for-public-clouds-at-canonical-3251156423?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=hNX7CinAr%2BQt9xfEqUNEdA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-19,E3S,Desenvolvedor de Software (Back/Front),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-back-front-at-e3s-3277342332?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=GQMndzW7x9xWNCNtvfxTIw%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
